1,2,3,4,5,6,7
DUTLUBAHÇEDE KENTSEL DÖNÜŞÜME UYGUN SATILIK BİNA,4,2,Yok,160.0,16.300.000 TL,
CAN EMLAKTAN YATIRIMLIK KOMPİLE BİNA 75 CADDEYE YAKIN,4,1,Klima,300.0,14.000.000 TL,
ESENTEPE'DE SAHİBİNDEN KOMPLE SATILIK SIFIR AİLE APARTMANI,3,2,Doğalgaz (Kombi),680.0,16.000.000 TL,
ZERRİN ÇAKIR'DAN TRAMVAYA 200M CADDE ÜSTÜ KOMPLE SATILIK BİNA,4,2,Klima,600.0,24.000.000 TL,
LUXURY COMPLEX FOR SALE IN KESTEL FROM EZOGELIN REAL ESTATE,5,3,Klima,700.0,52.623.000 TL,
Lara Kundu Tribleks Villa fırsatı...Lara Villa Deal,4,1,Doğalgaz (Kombi),355.0,19.000.000 TL,
ANTALYA KEPEZ ÜNSALDA SATILIK KOMPLE BİNA NO-19962,3,1,Klima,280.0,17.500.000 TL,
FABRİKALAR MAHALLESİNDE 3 KATLI SATILIK BİNA,3,1,Klima,400.0,19.000.000 TL,
ALANYA ÇAY ARASI BÖLGESİNDE MÜSTAKİL BİNA,2,1,Soba,250.0,2.650.000 TL,
KEPEZ ERENKÖY MAH'DE TİCARET+ KONUT İMARLI EMSALSİZ KOMPLE BİNA,2,2,Klima,770.0,28.000.000 TL,
[Finike Emlak] KOMPLE BİNA SATILIK,3,1,Klima,65.0,6.500.000 TL,
BELEK MERKEZDE TAMAMI SATILIK LÜKS EŞYALI ASANSÖRLÜ SIFIR SİTE,4,2,Klima,1.1,55.000.000 TL,
ANTALYA KALEİÇİNDE İŞLEK CADDE'DE 4 DÜKKANLI 6 ODALI KOMPLE BİNA,3,3,Yok,355.0,38.500.000 TL,
ACİL SATILIK VARSAKTA SATILIK SIFIR KOMPLE BİNA FİYAT DÜŞÜRDÜK,3,1,Klima,400.0,7.849.000 TL,
DEMİRTAŞ BELDESİNDE SATILIK BİNA,5,3,Klima,580.0,18.500.000 TL,
MURARPAŞA_MERKE­Z'de_SATILIK_5 KATLI_ASANSÖR'LÜ_NA TAMAM_ BİNA,5,1,Klima,525.0,10.999.000 TL,
BARINAKLARDA DENİZE YAKIN İŞ YERİNE VİLLAYA UYGUN KÖŞE PARSEL,3,1,Doğalgaz (Kombi),600.0,49.000.000 TL,
Ferah Açık Otopark Soba Yok Emsalsiz Konumda Bina Merkeze 5 dk Uzaklıkta,2,1,Soba,250.0,39.500.000 TL,
SATILIK MÜTHİŞ FIRSAT KOMPLE BİNA FABRİKALAR MAHALLESİ ACİL!!!,4,1,Klima,560.0,19.700.000 TL,
ANTALYA KEMER KUZDERE ACİL SATILIK KOMPLE BİNA,2,2,Klima,350.0,25.000.000 TL,
GÜZELOBA'DA MUHTEŞEM KONUMDA CADDE ÜZERİ SATILIK KOMPLE BİNA,2,2,Klima,780.0,36.000.000 TL,
KALEİÇİNDE İSKELE CADDESİNE 2.PARSEL-TİCAR İ-ESKİ-TARİHİ BİNA,2,1,Klima,150.0,14.900.000 TL,
AKDENİZ ÜNİVERSTESİ YAKINI KOMPLE BİNA APART VE OTEL PANSİYONA,4,5 +,Yok,150.0,23.500.000 TL,
AHATLI MAHALLESİNDE SATILIK KOMPLE BİNA SIFIR KİRA GETİRİSİ YÜK,4,2,Doğalgaz (Kombi),345.0,16.500.000 TL,
ALANYA OBA da SATILIK BİNA,2,1,Klima,275.0,15.748.000 TL,
EMRAH TOKER'DEN ÜNİ'YE KOMŞU ARSA PARASINA FIRSAT KOMPLE BİNA,3,1,Klima,420.0,10.068.000 TL,
TOMAŞ GAYRİMENKULDEN KOMPLE BİNA,3,1,Klima,278.0,6.550.000 TL,
"600m2, yüksek kira getirili, katlı iş merkezi",4,1,Yok,600.0,65.000.000 TL,
KEPEZ YEŞİLYURT MAH.'DE SATILIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),850.0,20.350.000 TL,
HASBEY'den KALEİÇİNDE KÖŞE BAŞI 4 KATLI SATILIK KOMPLE BİNA,4,1,Klima,186.0,31.500.000 TL,
ALANYA MERKEZ TURİZİME UYGUN ACİL İHDİYAÇTAN SATILIK BİNA,4,4,Klima,100.0,23.000.000 TL,
KOMPLE SATILIK BİNA 10 DAİRE.. TAM Bitmiş halinin fiyatıdır...,5,2,Doğalgaz (Kombi),800.0,24.900.000 TL,
KONYAALTI GÜRSU DA DENİZE 200 M HAVUZLU SATILIK KOMPLE BİNA,4,2,Klima,800.0,58.000.000 TL,
Larada Konyaaltında 1 Daire Fiyatına Kepezde Komple Satılık Bina,4,2,Doğalgaz (Kombi),95.0,24.500.000 TL,
KÖMÜRCÜLER SANAYİ SİTESİ İÇERİSİNDE 500 M2 SANAYİİ DÜKKANI,2,1,Yok,500.0,12.500.000 TL,
Muratpaşa Mark Antalyaya yakın komple SATILIK BINA,3,2,Klima,660.0,32.000.000 TL,
,,,,,,
PETROL EMLAK'TAN BAHÇELİEVLER MAH KOMPLE SATILIK BİNA,3,1,Klima,513.0,13.000.000 TL,
HASTANEYE YAKIN 240 M2 ARSA ÜZERİNDE 3 KATLI BİNA KOMPLE SATILIK,3,1,Klima,240.0,9.500.000 TL,
BARINAKLARDA İŞ YERİNE UYGUN MASRAFSIZ KOMPLE SATILIK BİNA!!!!,3,1,Klima,200.0,27.500.000 TL,
Alanya Avsallar 10 daireli merkezi konumda bina,5,2,Yok,816.0,30.000.000 TL,
KEPEZ DEVLET HASTANESİ YANI KOMPLE SIFIR BİNA 13 DAİRE,4,3,Klima,14.0,48.500.000 TL,
EDANUR EMLAKTAN AŞAĞIPAZARCI MAHALESİNDE KOMPLE SATILIK BİNA,4,1,Soba,100.0,10.900.000 TL,
GÜZELOBA DENİZE 3 km SIFIR EŞYALI 7adet 1+1 YÜKSEK KIRA GETİRİLİ,3,2,Klima,300.0,15.250.000 TL,
GALERİDEN BARINAKLARDA HARİKA KONUM 444m2 ARSALI BİNA,3,1,Klima,1.0,53.750.000 TL,
Kızılsaray Mahallesinde Satılık 3 Katlı Ticari Bina,3,3,Klima,1.12,37.000.000 TL,
MANAVGAT ÖRENŞEHİR MH.SİTE İÇERİSİNDE SATILIK VİLLA,3,1,Klima,150.0,6.000.000 TL,
MUSTAFA YORULMAZ'DAN SATILIK KURUMSAL KİRACILI KOMPLE BİNA,3,2,Klima,1.0,21.000.000 TL,
ANTALYANIN GÖZ BEBEĞİ KALEİÇİ SATILIK TAŞ EV&PANSİYON,2,2,Soba,280.0,30.000.000 TL,
Kaleiçi/Murat­paşa-Antalya da SATILIK BİNA,2,1,Klima,412.0,45.000.000 TL,
Ticari konut bina,3,1,Doğalgaz (Kombi),314.0,13.375.000 TL,
Acil ev isteyenler.,2,1,Soba,110.0,4.650.000 TL,
34 ODA FULL EŞYALI OTEL VE LOJMAN KULLANIMINA UYGUN KOMPLE BİNA,4,5 +,Klima,1.0,55.000.000 TL,
VARSAK KARŞIYAKA ️ TRAMVAYA YAKIN ️ HAVUZLU ️1+1-️11ADET️,4,4,Klima,600.0,19.500.000 TL,
ALANYA KONAKLI SATILIK KOMPLE BİNA 4 DÜKKANLI BODRUMLU,3,5 +,Klima,600.0,50.000.000 TL,
Manavgat Merkezde Satılık Ticari Bina,2,1,Klima,88.0,7.250.000 TL,
KEMER ÇAMYUVA'DA APART OTEL OLMAYA UYGUN KOMPLE BİNA,3,4,Klima,350.0,12.500.000 TL,
ANTALYA KALEİÇİNDE İSYERİNE UYGUN SATILIK BİNA,2,2,Klima,152.0,18.000.000 TL,
RESMİ KURUM KİRACILI KOMPLE BİNA,6,5 +,Klima,3.5,150.000.000 TL,
KÜLTÜR MAH. OTEL VEYA PANSİYON OLABİLECEK YATIRIMLIK KOMPLE BİNA,4,1,Doğalgaz (Kombi),300.0,23.000.000 TL,
Temel İnşaat Emlaktan Komple Bina,3,2,Doğalgaz (Kombi),1.77,91.000.000 TL,
AŞAĞIKOCAYATAKTA 788 M2 ARSA İÇERİSİNDE SATILIK KOMPLE BİNA,3,1,Kalorifer,330.0,8.250.000 TL,
Saltun'dan Antalya Manavgat Side'de Satılık Komple Bina,3,1,Klima,220.0,11.000.000 TL,
BARINAKLARDA 930 m2 ARSA İÇİNDE FATURALI KÖŞE BİNA,3,1,Doğalgaz (Kombi),1.5,135.000.000 TL,
ANTALYA KONYALTI UNCALI ULUÇ MH ANA YOL ÜZERİ KOMPLE BİNA İŞ MRK,3,3,Kalorifer,2.0,160.000.000 TL,
