1,2,3,4,5,6,7
BEBEK DE 1 DÖNÜM ARSA İÇERİSİNDE SATILIK KÖŞK VE ARSA,4.0,1,Doğalgaz (Kombi),600.0,150.000.000 TL,
EMİRGANDA PANORAMİK BOĞAZ MANZARALI 4 KATLI BİNA,4.0,1,Doğalgaz (Kombi),648.0,117.000.000 TL,
MİMAR SİNAN MAHALLESİNDE MÜSTAKİL SATILIK 2 KATLI BİNA,2.0,1,Doğalgaz (Kombi),140.0,3.600.000 TL,
K.ÇEKMECE TEPEÜSTÜ KURUMSAL KİRACILI SATILIK 8 KATLI BİNA,8.0,1,Doğalgaz (Kombi),3.2,94.000.000 TL,
ADNAN KAHVECİ BULVARINDA METROBÜSE 5 DK 4 KATLI BİNA ARAÇ TAKASI,4.0,1,Doğalgaz (Kombi),100.0,11.750.000 TL,
ÜMRANİYE DUDULLU ESENŞEHİR'DE KOMPLE SATILIK BİNA,4.0,2,Doğalgaz (Kombi),790.0,15.000.000 TL,
CİHANGİR FİRUZAĞA SATILIK 10 DAİRELİ YENİ BİNA FOR SALE REALTY,5.0,2,Doğalgaz (Kombi),900.0,50.000.000 TL,
FATİH SULTANAHMET AKBIYIK CADDESİ'NDE SATILIK VİTRİN BİNA,3.0,1,Doğalgaz Sobası,90.0,19.800.000 TL,
Satılık Mükemmel Ötesi Bu Fiyata Yok! Fiyat Düştü! Yok Doğalgaz (Kombi),5.0,1,Doğalgaz (Kombi),145.0,32.100.000 TL,
Ataşehir İçerenköy'de Yatırımlık Satılık Bina...,2.0,1,Doğalgaz (Kombi),300.0,12.000.000 TL,
MALTEPE TÜLİN CADDESİ'NDE EMSALSİZ SATILIK KOMPLE BİNA,3.0,2,Doğalgaz (Kombi),930.0,32.000.000 TL,
BEYOĞLU ASMALI MESCİT MEŞRUTİYET CADDESİ ÜZERİNDE SATILIK BİNA,5.0,1,Doğalgaz (Kombi),600.0,89.000.000 TL,
AYAZMA CADDESİNDE MÜSTAKİL (2 KATLI ) CAM GİYDİRME SIFIR BİNA,2.0,1,Doğalgaz (Kombi),100.0,12.000.000 TL,
FATİH'TE 1506 M2 KAPALI ALANI OLAN 614 M2 BAHÇELİ BİNA,5.0,1,Doğalgaz (Kombi),1.506,80.000.000 TL,
FATİH'TE 1506 M2 KAPALI ALANI OLAN 614 M2 BAHÇELİ BİNA,5,1,Doğalgaz (Kombi),1.506,80.000.000 TL,
Kapali Çarsi bitisigi satilik bina,5,5 +,Yok,375.0,70.000.000 TL,
SATILIK 4 KATLI BİNA %90 HİSSELİ %10 BULUNMAMAKTA 45m2,4,1,Doğalgaz (Kombi),45.0,4.500.000 TL,
,,,,,,
MENEKŞE GAYRİMENKUL DEN SULUKULE DE SATILIK BİNA 6+3,2,2,Doğalgaz (Kombi),310.0,22.250.000 TL,
ACİL SATILIK BİNA RESMİ İMAR ALINDI,3,3,Doğalgaz (Kombi),150.0,6.690.000 TL,
ANA CADDE ÜZERİNDE SATILIK BİNA (AÇIKLAMAYI OKUYUNUZ),4,2,Doğalgaz (Kombi),300.0,7.650.000 TL,
Maltepe Esenkentte Satılık 437m²Arsa İçerisinde 5 Daireli Bina,3,2,Doğalgaz (Kombi),437.0,16.500.000 TL,
420M2 ARSA İÇERİSİNDE - 3 DAİRE - 1 BODRUM KAT,3,1,Doğalgaz (Kombi),420.0,10.000.000 TL,
BEŞİKTAŞ ABASAĞA DA 4 KATLI SIFIR BİNA,4,1,Doğalgaz (Kombi),150.0,7.450.000 TL,
YEDİTEPE ÜNİV. KARŞISINDA 5KATLI KOMPLE SATILIK BİNA,5,1,Doğalgaz (Kombi),192.0,19.000.000 TL,
BOMONTİ'DE 6 KATLI SATILIK BİNA OTEL İÇİN UYGUN,6,1,Doğalgaz (Kombi),1.2,70.000.000 TL,
BEYOĞLU DA SATILIK APARTLIK BINA,7,2,Doğalgaz (Kombi),490.0,38.000.000 TL,
PENDİK GÜLLÜBAĞLAR METROYA YAKIN SATILIK İSKANLI KOMPLE BİNA,7,2,Doğalgaz (Kombi),1.4,57.000.000 TL,
Beyoğlu Hasköy'de Haliçport'a Komşu Deniz Manzaları Satılık Bina,8,1,Doğalgaz (Kombi),830.0,41.500.000 TL,
Kurtuluş ta satılık komple yeni bina,6,1,Doğalgaz (Kombi),45.0,11.000.000 TL,
İSTANBUL B.DÜZÜ KAVAKLI DA 665 M2 ÜZERİNDE SATILIK KOMPLE BİNA,6,3,Doğalgaz (Kombi),665.0,74.500.000 TL,
SİLİVRİ CUMHURİYET MAHALLESİ DENİZ MANZARA SATILIK 3.5 KAT BİNA,3,1,Doğalgaz (Kombi),239.0,5.750.000 TL,
CADDE ÜSTÜ . KOMPLE BİNA .METRO'YA 5 DK. METROBÜSE 9 DK,5,2,Doğalgaz (Kombi),1.2,29.750.000 TL,
TAKSİM GÜMÜŞSUYU MERKEZDE KONUMLU 1000 M2 SATILIK BİNA,8,1,Doğalgaz (Kombi),1.0,110.000.000 TL,
MANZARASIYLA ÇENGELDERE MAHALLESİ'NDE SATILIK MÜSTAKİL BİNA,3,1,Doğalgaz (Kombi),440.0,16.000.000 TL,
BEYLİKDÜZÜNDE SATILIK KOMPLE BİNA,3,1,Doğalgaz (Kombi),560.0,25.000.000 TL,
ERMET'ten YENİBOSNA'DA KİRA GETİRİLİ KOMPLE SATILIK BİNA,5,2,Doğalgaz (Kombi),175.0,14.000.000 TL,
Yatırımlık Cihangirde 400 m2 Arsa Üzerine İnşa Edilmiş Üç Katlı,3,3,Doğalgaz (Kombi),400.0,75.000.000 TL,
YENİBOSNA MERKEZ MH / 600 m2 ARSALI / SATILIK KOMPLE BİNA,6,1,Doğalgaz (Kombi),1.5,35.000.000 TL,
FATİH GEDİKPAŞA OTELLER BÖLGESİNDE SATILIK BİNA YATIRIMLIK,8,2,Yok,750.0,37.900.000 TL,
ARNAVUTKÖY TAŞOLUKTA SATILIK SIFIR BİNA,4,3,Doğalgaz (Kombi),1.5,28.750.000 TL,
MALTEPE E-5 ÜSTÜ 1500 M2 KOMPLE SATILIK BİNA,5,2,Doğalgaz (Kombi),1.5,37.000.000 TL,
Cerrahpaşa Cadde Paraleli 5 Katlı Satılık Bina / Tadilatlı / Boş,5,1,Doğalgaz (Kombi),265.0,12.000.000 TL,
ZEYNEPKAMİLDE SATILIK BİNA,5,1,Doğalgaz (Kombi),370.0,21.500.000 TL,
ARTI'dan TEK YETKİLİ 5 Ayrı Daireli 15 Yıllık Satılık Bina..,5,1,Doğalgaz (Kombi),242.0,30.000.000 TL,
Doğadan çarşıda muhteşem konumda mağazalı 4 katlı bina,4,1,Klima,225.0,69.000.000 TL,
SARIHAN EMLAK'TAN SATILIK E 5 CEPHE 800M² KAPALI ALAN,2,1,Doğalgaz (Kombi),1.481,55.000.000 TL,
BAĞCILAR KİRAZLI MAH SATILIK BİNA,3,1,Doğalgaz (Kombi),109.0,6.300.000 TL,
KADIKÖY ALTI YOLDA KİRA GETİRİSİ YÜKSEK MÜKEMMEL,5,2,Klima,740.0,39.000.000 TL,
8 HİSSELİ BİNANIN 6 HİSSESİ SATILIK,1,1,Doğalgaz (Kombi),87.0,10.000.000 TL,
FATİH KÜÇÜKMUSTAFAPAŞA'DA FIRIN RUHSATLI 3 KATLI BİNA,3,1,Soba,165.0,20.000.000 TL,
Sancaktepe Veysel Karani Mah EŞSİZ FIRSAT ! Satılık AİLE BİNASI,4,2,Doğalgaz (Kombi),256.0,12.000.000 TL,
İSTANBUL ÜNİVERSİTESİ YAKIN EŞYALI RUHSATLI ERKEK ÖĞRENCİ YURDU,5,1,Doğalgaz (Merkezi),1.25,40.000.000 TL,
KWSEVCİHAN BEREKET'TEN BEYKOZ'DA DEĞERLİ BÖLGEDE KOMPLE BİNA!,3,1,Doğalgaz (Kombi),420.0,18.000.000 TL,
SULTANGAZİ 50 YIL MAH KOMPLE BİNA,5,1,Doğalgaz (Kombi),103.0,7.000.000 TL,
GÜNGÖREN SANAYİ MAHALLESİDE SATILIK BİNA,3,1,Klima,355.0,65.950.000 TL,
Beyoğlu'nda Satılık 4 Katlı Bina,4,1,Yok,110.0,4.000.000 TL,
