1,2,3,4,5,6,7
TOKİ KONUTLARI İÇİNDE 7.000 M2 ÖZEL OKUL BİNASI,4,5 +,Doğalgaz (Merkezi),7.0,65.900.000 TL,
KEÇİÖREN'DE KOMPLE SATILIK BİNA 6 TANE 3+1 GETİRİLİ,3,3,Doğalgaz (Kombi),340.0,16.000.000 TL,
KAHRAMAN KAZAN SANAYİNDE SATILIK FABRİKA BİNASI,1,1,Doğalgaz (Merkezi),900.0,22.000.000 TL,
ÇANKAYA CADDESİ ÜZERİ BOTANİK PARK KARŞISI SATILIK KOMPLE BİNA,4,5 +,Doğalgaz Sobası,2.5,100.000.000 TL,
İki katlı evli İstabul yoluna cephe,2,1,Doğalgaz (Kombi),500.0,3.500.000 TL,
ALTINDAĞ İSKİTLER SATILIK BİNA,4,2,Soba,391.0,16.000.000 TL,
KURUMSAL MARKETLERDEN OLUŞAN 400.000 TL NET KİRA GETİRİLİ,4,5 +,Doğalgaz (Kombi),2.0,185.000.000 TL,
ÇANKAYA EMEK MAH YÜKSEK KİRA GETİRİLİ UYGUN FİYATLI SATILIKBİNA,3,1,Doğalgaz (Kombi),275.0,5.750.000 TL,
Bozyaka Ssk Yakını Ayrı Tapulu Komple Bina,5,1,Doğalgaz (Kombi),130.0,9.750.000 TL,
,,,,,,
BUCA FIRAT MAH/DE SATILIK 4 BUÇUK KATLI KÖŞE BİNA,4,1,Klima,121.0,6.250.000 TL,
merkezi yerde üçyol da iki katlı bina,2,1,Doğalgaz (Kombi),90.0,3.200.000 TL,
,,,,,,
BUCA FIRAT MAH/DE SATILIK 6 DAİRE 2 DÜKKAN AYRI TAPULU BİNA,4,2,Doğalgaz (Kombi),230.0,15.500.000 TL,
"URLA İSKELEDE ÖZEL KONUM,DENİZE 50 M. ÇOK AMAÇLI SATILIK BİNA",3,1,Klima,232.0,35.000.000 TL,
Yok Bina Çok Uygun Kaçırılmayacak Fırsat! Doğalgaz (Kombi) Lüx,2,1,Doğalgaz (Kombi),220.0,9.750.000 TL,
BABACAN'DAN ÇİĞLİ ŞİRİNTEPE'DE 3 KATLI SATILIK MÜSTAKİL BİNA,3,1,Klima,167.0,7.600.000 TL,
ALAÇATI'NIN KALBİNDE 4 BAĞIMSIZ BÖLÜMLÜ SATILIK KOMPLE BİNA,2,1,Klima,340.0,83.000.000 TL,
ERA NİVA'DAN BORNOVA 1 DÜKKAN 3 DAİRE SATILIK KOMPLE BİNA,2,1,Doğalgaz (Kombi),112.0,5.750.000 TL,
FIRAT MAH. SATILIK 4 BUCUK KATLI BİNA pazaryeri metro dolmuş,4,1,Klima,121.0,6.250.000 TL,
