1,2,3,4,5,6
6,1.0,0,400,24750000,34
7,1.0,0,160,160000000,34
4,1.0,0,800,66000000,34
6,1.0,0,310,42500000,34
6,1.0,0,135,12600000,34
4,3.0,7,1,55000000,34
3,3.0,0,120,5100000,34
2,2.0,6,550,10500000,34
3,1.0,0,120,17700000,34
5,1.0,0,500,28500000,34
4,2.0,6,635,17000000,34
5,2.0,0,320,75000000,34
3,1.0,0,310,10000000,34
5,1.0,0,123,8500000,34
4,1.0,0,250,38000000,34
2,1.0,0,215,6750000,34
6,1.0,0,380,32500000,34
4,2.0,8,1,54000000,34
6,3.0,3,1,50000000,34
4,2.0,0,72,12500000,34
5,1.0,0,120,12770000,34
5,1.0,0,1,54500000,34
2,1.0,5,86,5400000,34
4,1.0,0,300,12000000,34
4,1.0,0,350,11000000,34
4,1.0,0,430,98000000,34
4,3.0,0,350,24000000,34
2,1.0,0,215,8500000,34
4,2.0,0,110,25000000,34
6,2.0,0,170,26500000,34
6,2.0,0,291,65000000,34
3,1.0,0,300,13500000,34
3,1.0,0,460,8750000,34
6,1.0,0,115,27250000,34
3,2.0,5,300,16000000,34
4,2.0,0,750,10100000,34
9,4.0,0,920,320000000,34
6,2.0,0,250,250000000,34
4,1.0,0,209,13500000,34
4,1.0,5,45,16750000,34
3,2.0,7,600,42500000,34
2,2.0,0,309,10000000,34
4,1.0,0,410,21500000,34
5,1.0,0,1,85000000,34
2,1.0,5,200,81000000,34
3,1.0,0,1,35000000,34
9,1.0,2,1,105000000,34
6,4.0,0,1,64000000,34
6,1.0,0,327,16500000,34
4,1.0,6,370,9448000,34
4,2.0,0,346,18500000,34
4,1.0,0,540,27000000,34
4,1.0,2,540,3990000,34
3,1.0,0,370,11475000,34
4,1.0,0,101,6650000,34
3,1.0,0,265,20250000,34
5,1.0,0,500,16000000,34
4,1.0,0,400,55500000,34
2,1.0,2,500,20000000,34
3,1.0,0,45,13500000,34
7,1.0,0,250,50000000,34
5,1.0,0,275,23995000,34
3,1.0,0,85,12000000,34
5,1.0,0,150,77500000,34
6,1.0,1,70,23000000,34
4,1.0,0,440,17500000,34
4,1.0,2,435,11600000,34
5,3.0,0,1,25900000,34
4,1.0,6,160,7500000,34
7,1.0,1,50,13340000,34
7,2.0,0,600,75000000,34
4,1.0,0,190,14000000,34
5,1.0,0,150,27250000,34
5,1.0,0,320,55000000,34
5,1.0,0,520,8800000,34
7,,0,149,14000000,34
2,1.0,0,320,19500000,34
2,1.0,4,743,92000000,34
3,2.0,0,610,50000000,34
5,1.0,0,1,41350000,34
3,1.0,0,125,9200000,34
4,1.0,2,250,14500000,34
3,1.0,0,144,11700000,34
4,1.0,0,460,11000000,34
3,2.0,0,500,21000000,34
7,1.0,1,450,88000000,34
3,1.0,2,285,19750000,34
5,1.0,0,150,13500000,34
5,1.0,0,205,17500000,34
4,1.0,0,90,11500000,34
4,1.0,0,160,12400000,34
8,1.0,5,1,270000000,34
2,2.0,1,1,15000000,34
3,1.0,5,90,16000000,34
2,2.0,1,728,23000000,34
4,2.0,0,900,11250000,34
3,1.0,0,120,12500000,34
4,1.0,2,240,7900000,34
4,1.0,0,85,26500000,34
6,,0,500,10000000,34
4,1.0,0,480,21500000,34
3,1.0,6,150,8400000,34
3,1.0,0,50,8250000,34
2,1.0,0,120,3750000,34
5,1.0,0,132,16500000,34
5,1.0,2,680,50000000,34
7,1.0,2,3,97000000,34
2,4.0,0,1,125000000,34
6,1.0,0,95,19000000,34
4,1.0,0,1,69500000,34
2,2.0,0,1,75000000,34
4,2.0,2,1,200000000,34
6,1.0,2,600,35000000,34
4,1.0,0,240,18500000,34
7,,2,500,33500000,34
5,1.0,0,500,18850000,34
5,1.0,8,90,49000000,34
2,2.0,0,436,7820000,34
4,2.0,0,548,54000000,34
5,1.0,0,521,17900000,34
5,1.0,4,150,8120000,34
5,1.0,0,213,13000000,34
4,1.0,0,165,13000000,34
5,1.0,0,2,170000000,34
5,1.0,1,1,69000000,34
5,1.0,0,450,16500000,34
4,2.0,0,98,5750000,34
5,1.0,0,110,4400000,34
1,1.0,0,140,7750000,34
3,1.0,0,80,8000000,34
4,1.0,0,158,12500000,34
5,1.0,0,300,92000000,34
2,1.0,0,560,39000000,34
3,1.0,0,68,10200000,34
7,1.0,5,500,70000000,34
3,1.0,0,400,11000000,34
4,4.0,0,400,56000000,34
4,1.0,0,211,8000000,34
2,4.0,0,300,7750000,34
4,1.0,0,260,11000000,34
4,1.0,0,450,6850000,34
6,1.0,0,85,30000000,34
1,1.0,0,294,27000000,34
5,1.0,0,375,13500000,34
3,1.0,0,73,4500000,34
1,1.0,0,140,7530000,34
3,1.0,0,150,10500000,34
4,2.0,0,400,14000000,34
2,2.0,0,320,14000000,34
2,1.0,1,480,25000000,34
5,1.0,0,400,20500000,34
5,,2,1,82500000,34
4,2.0,0,260,22000000,34
3,1.0,0,360,14500000,34
3,1.0,0,108,5520000,34
4,2.0,0,172,13000000,34
3,1.0,0,200,7530000,34
4,1.0,4,110,20000000,34
4,2.0,0,500,36000000,34
2,1.0,0,260,22000000,34
3,1.0,2,102,5500000,34
4,1.0,0,350,210000000,34
4,1.0,0,600,19850000,34
5,2.0,0,232,13000000,34
4,4.0,0,450,9700000,34
3,1.0,0,240,6600000,34
5,1.0,2,195,145600000,34
2,1.0,0,350,15000000,34
4,1.0,0,188,13150000,34
5,2.0,0,215,25750000,34
4,1.0,0,335,11000000,34
7,1.0,0,900,43000000,34
5,1.0,0,50,13500000,34
8,3.0,0,2,88000000,34
5,1.0,0,540,20000000,34
5,1.0,7,450,65000000,34
3,1.0,0,189,10000000,34
3,1.0,0,1,115000000,34
5,1.0,0,178,47000000,34
4,1.0,2,720,22000000,34
3,1.0,0,450,16000000,34
7,1.0,1,900,59000000,34
6,1.0,0,520,65000000,34
3,1.0,6,138,4000000,34
3,1.0,0,180,7750000,34
5,1.0,0,1,190000000,34
2,1.0,0,124,8500000,34
4,1.0,0,500,21500000,34
4,1.0,0,45,35000000,34
2,2.0,0,278,30200000,34
3,2.0,0,300,39750000,34
5,1.0,0,450,36750000,34
8,4.0,0,608,30000000,34
2,1.0,0,100,11000000,34
2,2.0,5,140,4990000,34
4,1.0,1,1,132000000,34
4,2.0,0,900,27000000,34
4,1.0,0,350,11500000,34
4,1.0,0,121,9935000,34
4,1.0,0,190,6500000,34
4,2.0,0,200,13000000,34
6,2.0,0,240,49250000,34
4,1.0,0,250,11500000,34
8,1.0,8,3,105000000,34
5,1.0,0,75,14750000,34
5,1.0,0,500,18000000,34
3,2.0,0,500,49500000,34
5,1.0,0,138,16000000,34
4,1.0,0,108,5150000,34
4,2.0,2,850,246550000,34
3,3.0,6,113,3000000,34
3,1.0,6,120,20750000,34
3,1.0,0,500,63000000,34
4,4.0,0,470,10500000,34
4,1.0,1,450,9400000,34
